State,"All Denominations: Adherence Rate per 1,000 in 1980","All Denominations: Adherence Rate per 1,000 in 1990","All Denominations: Adherence Rate per 1,000 in 2000","All Denominations: Adherence Rate per 1,000 in 2010","All Denominations: Adherence Rate per 1,000 in 2020"
Alabama,574.02,709.66,547.63,629.23,636.01
Alaska,307.6,322.41,343.3,339.09,351.82
Arizona,394.85,430.38,399.18,372.33,440.66
Arkansas,539.88,606.28,571.17,553.64,577.64
California,345.18,422.89,460.98,450.04,448.34
Colorado,366.1,392.9,394.6,378.25,354.09
Connecticut,615.64,622.93,578.79,512.26,473.71
Delaware,403.05,459.89,405.97,417.53,413.57
District Of Columbia,489.47,616.51,731.64,552.32,564.49
Florida,462.42,438.46,411.47,391.33,470.79
Georgia,470.47,575.89,447.76,508.31,507.84
Hawaii,332.31,352.66,362.1,413.13,414.86
Idaho,500.56,504.02,484.76,511.4,527.38
Illinois,551.12,599.13,552.98,552.96,508.13
Indiana,448.5,475.25,429.06,443.28,421.4
Iowa,614.52,605.41,584.84,539.12,448.65
Kansas,534.47,546.77,493.69,506.27,460.28
Kentucky,541.67,604.5,534.31,515.68,494.09
Louisiana,573.73,705.08,587.84,605.93,633.23
Maine,410.2,364.07,363.58,276.31,307.94
Maryland,402.74,483.45,432.72,418.35,434.72
Massachusetts,646.54,655.22,640.97,572.43,486.4
Michigan,426.85,504.19,418.39,421.44,396.79
Minnesota,650.93,648.54,617.04,563.06,494.94
Mississippi,550.4,701.86,546.46,587.37,594.32
Missouri,535.82,575.5,517.08,492.72,484.08
Montana,442.74,427.06,447.23,381.01,348.37
Nebraska,632.17,637.72,588.37,556.59,492.77
Nevada,292.05,321.44,342.86,343.62,416.08
New Hampshire,443.12,395.2,476.64,351.52,272.19
New Jersey,541.56,612.51,577.44,547.04,521.74
New Mexico,589.57,586.97,581.53,500.78,525.13
New York,496.71,656.65,603.98,512.1,512.22
North Carolina,539.6,600.11,453.63,475.11,521.46
North Dakota,739.33,758.65,732.03,671.22,550.19
Ohio,496.16,501.3,449.41,439.62,478.52
Oklahoma,579.8,668.33,607.56,593.49,611.75
Oregon,360.68,322.02,313.11,311.87,331.81
Pennsylvania,610.38,613.61,579.49,538.36,468.93
Rhode Island,755.49,767.31,634.51,548.11,515.09
South Carolina,514.23,618.87,475.73,521.78,526.7
South Dakota,669.22,681.04,678.13,585.66,553.79
Tennessee,542.93,612.02,510.72,555.04,556.37
Texas,546.91,641.48,555.04,556.54,550.53
Utah,751.92,797.57,747.3,791.06,760.96
Vermont,478.68,420.71,391.33,336.23,376.34
Virginia,418.24,479.38,415.84,448.27,459.98
Washington,310.3,331.34,329.63,346.2,413.32
West Virginia,397.29,413.72,359.45,355.27,377.78
Wisconsin,645.64,646.02,604.37,535.86,480.44
Wyoming,441.9,477.03,467.26,395.78,403.94
