County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Nevada County, Arkansas",34.63,16.33,,13.64,5.55
"Adams County, Mississippi",33.98,16.54,,15.42,0
"Northampton County, North Carolina",29.6,7.02,,24.75,0
"Macon County, Alabama",29.22,23.05,,128.31,0
"Lowndes County, Mississippi",28.82,10.41,,11.89,3.47
"Ouachita County, Arkansas",26.85,31.26,,10.92,0
"Columbia County, Arkansas",25.67,12.55,,10.81,8.65
"Franklin city, Virginia",24.99,17.4,,,
"Anson County, North Carolina",24.29,12.35,,54.75,31.35
"Stonewall County, Texas",24.1,,,,0.62
"St. Helena Parish, Louisiana",23.74,13.24,,22.7,0
"Lowndes County, Alabama",23.24,20.05,2.17,57,20.75
"Martinsville city, Virginia",23,4.33,,,
"St. Louis city, Missouri",22.81,10.82,,11.8,1.47
"Bladen County, North Carolina",22.72,13.74,,41.09,27.55
"Union County, Arkansas",22.48,19.05,,9.39,5.24
"Washington County, Mississippi",22.11,15.45,,19.26,0
"Bullock County, Alabama",21.96,31.56,,58.07,24.55
"Jefferson County, Arkansas",21.46,14.64,,12.33,2.16
"Marion County, South Carolina",20.7,16.16,,17.56,0
"Gadsden County, Florida",20.67,17,3.85,13.85,0.32
"Hempstead County, Arkansas",20.53,10.03,,13.08,28.76
"Crittenden County, Arkansas",20.46,8.77,,12.48,1.36
"Fairfield County, South Carolina",20.15,14.47,,29.89,4.83
"Shelby County, Tennessee",19.83,16.27,,12.72,4.41
"Hinds County, Mississippi",19.8,12.99,,14.45,0.8
"Montgomery County, Alabama",19.45,19.22,0.18,24.28,11.61
"Jefferson County, Florida",19.35,19.82,0.99,16.29,0
"Calhoun County, Arkansas",18.99,3.3,,7.59,0
"Wilkinson County, Georgia",18.9,12.23,,25.48,15.05
"Leflore County, Mississippi",18.8,10.7,,19.86,1.92
"Bradley County, Arkansas",18.64,19.66,,14.17,0.83
"Cleveland County, Arkansas",18.6,3.81,,4.07,0
"Stewart County, Georgia",18.52,12.1,,37.32,24.8
"Dallas County, Arkansas",18.51,15.03,,16.49,0
"Clarendon County, South Carolina",18.35,12.41,,18.07,0
"Ashley County, Arkansas",18.34,15.87,,17.15,6.66
"Allendale County, South Carolina",18.24,12.13,,30.23,12.36
"Hale County, Alabama",18.18,22.16,0.68,39.84,12.4
"Coahoma County, Mississippi",18.16,20.86,,21.8,0
"Macon County, Georgia",17.91,13.07,,36.03,17.02
"Emporia city, Virginia",17.86,2.11,,,
