County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"St. James Parish, Louisiana",95.79,63.1,66.18,84.18,66.66
"Jim Hogg County, Texas",87.45,86.79,91.06,78.1,74.61
"Zavala County, Texas",83.76,29.12,30.33,65.78,61.29
"Lyman County, South Dakota",83.46,67.72,30.04,22.21,15.45
"Emmons County, North Dakota",81.64,62.9,67.21,56.23,59.2
"Logan County, Nebraska",81.42,46,73.26,31.78,23.4
"Santa Cruz County, Arizona",78.73,32.09,58.53,43.3,43.99
"Starr County, Texas",76.96,44.54,74.8,81,138.4
"Mora County, New Mexico",76.2,57.26,57.2,94.86,118.91
"La Salle County, Texas",75.51,69.71,85.71,86.41,62.3
"Imperial County, California",75.39,28.21,51.61,40.82,40.03
"Harding County, New Mexico",75.34,87.48,56.3,81.16,110.09
"San Miguel County, New Mexico",74.53,73.79,69.59,53.18,64.79
"Greeley County, Nebraska",68.56,47.83,81.06,71.26,67.62
"Dimmit County, Texas",68.18,91.04,94.68,59.43,71.1
"Buffalo County, South Dakota",68.17,41.16,34.3,40.48,27.24
"Taos County, New Mexico",66.41,54.61,59.81,75.81,96.63
"Glasscock County, Texas",65.32,40.78,38.76,37.94,41.41
"Rio Arriba County, New Mexico",64.94,52.94,53.28,65.37,81.42
"Maverick County, Texas",64.55,23.22,27.68,76.69,45.96
"Logan County, North Dakota",64.55,32.86,44.02,39.52,39.16
"Rolette County, North Dakota",64.19,99.96,86.95,116.27,98.71
"Kenedy County, Texas",63.14,30.05,28.99,95.65,88.95
"Plaquemines Parish, Louisiana",63.13,38.15,45.14,39.26,40.22
"San Benito County, California",62.79,56.28,62.19,20.49,17.48
"Glacier County, Montana",62.37,55.23,56.34,55.97,47.24
"Lavaca County, Texas",61.9,66.44,70.01,56.22,55.34
"Schleicher County, Texas",61.89,11.56,14.65,20.07,15.96
"Brooks County, Texas",60.9,70.48,43.88,54.85,59.33
"Duval County, Texas",60.9,57.72,59.45,60.85,18.22
"Webb County, Texas",59.86,50.64,68.12,75.14,52.35
"Putnam County, Ohio",58.72,60.27,62.66,49.37,61.74
"Cedar County, Nebraska",58.42,53.94,54.98,57.9,54.77
"Fredericksburg city, Virginia",57.52,52.64,51.07,,
"Presidio County, Texas",56.6,40.93,55.37,70.36,53.03
"Sherman County, Nebraska",55.39,48.86,36.74,28.48,55.37
"Zapata County, Texas",54.98,24.97,29.91,31.25,37.72
"Suffolk County, New York",54.9,58.89,51.73,52.03,38.59
"St. Tammany Parish, Louisiana",54.81,22.74,29.98,28.07,27.66
"Falls Church city, Virginia",54.33,51.35,70.73,,
"St. Landry Parish, Louisiana",53.57,59.04,66.93,74.57,67.14
"Assumption Parish, Louisiana",53.32,57.76,78.3,62.04,52.97
"De Baca County, New Mexico",53.24,34.87,35.94,44.63,40.75
"Newport County, Rhode Island",53.16,34.25,40.83,51.11,52.4
"Kusilvak Census Area, Alaska",53.01,,,,
"Mercer County, Ohio",52.3,58.14,61.16,56.13,47.53
"Jim Wells County, Texas",52.2,42.26,37.79,62.58,33.03
"Guadalupe County, New Mexico",52.02,85.34,86.92,91.43,127.56
"Manassas city, Virginia",51.93,71.69,53.33,,
"Iberia Parish, Louisiana",51.67,53.13,56.14,66.76,60.47
"Colfax County, Nebraska",51.62,42.39,43.6,51.32,47.97
"St. Martin Parish, Louisiana",51.58,55.24,84.41,72.54,61.09
"Santa Fe County, New Mexico",50.01,48.24,39.19,34.12,47.95
"Ellis County, Kansas",49.13,36.51,32.99,54.81,55.06
"Medina County, Texas",48.62,28.47,37.99,46.87,51.73
"Potter County, South Dakota",48.46,53.46,73.38,67.3,51.85
"Union County, New Mexico",47.98,40.69,9.1,31.52,27.51
"El Paso County, Texas",47.97,43.21,51.48,66.51,27.45
"Boone County, Nebraska",47.95,35.19,44.13,46.23,40.97
"Kewaunee County, Wisconsin",47.79,51.55,57.41,72.38,60.57
"Terrell County, Texas",47.63,50.81,55.5,35.46,43.89
"Richmond County, New York",47.47,54.23,59.71,63.49,51.69
"Carroll County, Iowa",46.83,57.37,54.72,62.38,66.64
"Osage County, Missouri",46.69,52.59,52.15,66.13,62.08
"Hidalgo County, Texas",46.57,34.73,39.01,81,51.09
"Erie County, New York",46.47,38.4,57.27,59.15,51.56
"Monterey County, California",46.44,36.15,34.62,22.62,15.91
"Cape May County, New Jersey",45.51,36.54,31.57,29.4,21.2
"Fayette County, Texas",45.5,38.91,41.52,52.32,42.06
"Brown County, Minnesota",45.46,41.63,44.38,42.77,45.19
"Nassau County, New York",45.37,50.55,52.03,51.44,41.45
"Stark County, North Dakota",45.19,50.04,61,54.84,55.43
"Dubois County, Indiana",45.05,52.52,58.08,52.19,65.99
"Acadia Parish, Louisiana",45.04,48.08,68,67.65,83.89
"Jefferson Parish, Louisiana",44.66,34.41,41.47,48.84,47.81
"Lackawanna County, Pennsylvania",44.65,44.83,49.73,57.3,59.45
"Dubuque County, Iowa",43.8,53.3,64.87,57.49,63.88
"Clinton County, Illinois",43.61,53.76,56.04,50.52,48.39
"Lafourche Parish, Louisiana",43.6,57.57,74.8,55.26,67.88
"Morrison County, Minnesota",43.29,47.03,48.2,58.49,61.31
"Lander County, Nevada",42.95,15.29,22.94,14.36,14.01
"Putnam County, New York",42.82,41.54,55.87,50.84,37.08
"Cuming County, Nebraska",42.7,41.47,35.19,41.3,30.02
"Hamilton County, New York",42.65,33.68,49.38,41.67,36.61
"Stanley County, South Dakota",42.42,74.34,38.02,14.84,8.25
"Avoyelles Parish, Louisiana",42.36,43.73,46.48,48.88,55.09
"Monmouth County, New Jersey",42.32,41.57,47,35.92,30.49
"Perry County, Missouri",42.08,36.58,45.9,45.39,53.06
"Yoakum County, Texas",42.07,31.25,44.21,15.93,13.25
"Red Lake County, Minnesota",42.06,44.02,56.69,53.52,43.79
"Cavalier County, North Dakota",42.01,32.38,38.54,39.4,38.33
"Bristol County, Rhode Island",41.89,75.14,60.39,69.25,68.78
"Gillespie County, Texas",41.84,25.96,34.68,21.04,25.35
"Platte County, Nebraska",41.83,42.01,43.48,43.5,48.32
"St. Charles Parish, Louisiana",41.76,41.03,44.76,55.89,53.38
"Sheridan County, Kansas",41.64,32.12,42.41,45.81,39.33
"Lafayette Parish, Louisiana",41.52,45.1,64.24,54.68,53.3
"Karnes County, Texas",41.43,29.92,39.75,57.99,53.6
"Kleberg County, Texas",41.32,36.8,13.79,50.08,36.55
"Nemaha County, Kansas",41.31,40.93,53.49,53.76,41.23
"Suffolk County, Massachusetts",41.28,46.08,44.96,26.18,63.73
"Westchester County, New York",41.08,45.89,50.86,48.91,49.53
"Elk County, Pennsylvania",40.9,70.36,64.64,54.42,54.27
"Norfolk County, Massachusetts",40.89,52.97,58.58,54.67,50.14
"Providence County, Rhode Island",40.78,44.04,52.11,71.04,70.53
"Gonzales County, Texas",40.6,15.87,21.13,23.67,22.54
"Jones County, South Dakota",40.57,4.57,10.14,12.46,6.84
"Torrance County, New Mexico",40.34,24.75,58.79,18.38,26.47
