County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"King County, Texas",452.45,89.86,50.56,68.36,32.71
"Harmon County, Oklahoma",147.47,130.87,97.9,93.04,89.02
"Kiowa County, Colorado",147.44,97,24.35,22.33,19.99
"Worth County, Missouri",139.74,58.59,60.79,60.33,39.66
"Edmonson County, Kentucky",128.72,14.28,35.57,80.63,33.87
"Morris County, Texas",123.04,42.83,63.47,44.83,42.72
"Stonewall County, Texas",111.16,66.31,72.71,65.87,51.54
"Collingsworth County, Texas",100.98,83.87,74.05,59.64,56.26
"Throckmorton County, Texas",89.58,75.56,83.35,100.43,102.53
"Hickman County, Kentucky",87.04,87.66,57.56,56.85,46.45
"Yalobusha County, Mississippi",83.43,86.36,51.27,59.37,53.9
"Jefferson County, Oklahoma",81.3,76.5,58.58,63.28,58.63
"West Carroll Parish, Louisiana",81.2,69.87,69.17,69.46,65.78
"Haskell County, Texas",80.52,83.42,82.55,83.68,83.59
"Caldwell County, Kentucky",80.47,78.72,89.69,87.09,75.41
"Eastland County, Texas",79.03,73,60.71,65.09,60.09
"Hancock County, Tennessee",78.41,82.81,111.38,135.42,118.76
"Chowan County, North Carolina",76.4,26.99,36.28,37.38,40.49
"Bell County, Kentucky",76.39,62.38,57.64,58.09,44.06
"Ballard County, Kentucky",76.09,70.81,66.45,63.73,60.15
"Catahoula Parish, Louisiana",76.08,51.05,41.14,46.95,41.69
"Kent County, Texas",75.96,77.97,69.38,77.03,55.2
"Banks County, Georgia",75.23,53.73,43.2,57.26,62.16
"Jackson Parish, Louisiana",74.92,54.17,53.7,50.46,47.27
"Schley County, Georgia",74.31,30.66,27.3,19.7,20.16
"Cleburne County, Alabama",73.03,69.7,62.56,66.34,67.42
"Ouachita County, Arkansas",72.9,51.34,50.02,47.37,44.45
"Latimer County, Oklahoma",72.62,63.74,56.17,58.15,47.02
"Green County, Kentucky",72.53,74.24,63.11,75.46,66.28
"Simpson County, Mississippi",72.28,68.72,59.56,68.91,62.98
"Holmes County, Ohio",72.15,61.36,38.21,54.28,50.85
"Hancock County, Kentucky",72.02,77.38,55.71,56.26,51.18
"Mercer County, Missouri",71.68,56.49,61.86,59.71,46.55
"Roger Mills County, Oklahoma",70.69,81.66,70.98,62.67,54.62
"Martinsville city, Virginia",69.77,49.56,42.38,,
"Atoka County, Oklahoma",69.08,64.43,64.59,74.92,59.37
"Wilbarger County, Texas",68.12,69.61,56.85,64.64,63.47
"Mills County, Texas",68.04,66.57,53.87,57.49,58.3
"Fisher County, Texas",68,67.99,80.11,71.33,63.3
"Bristol city, Virginia",67.95,54.69,34.99,,
"Butler County, Kentucky",67.48,65.05,56.48,67.03,65.65
"Union County, Mississippi",66.35,67.99,70.31,75.93,69.17
"Calhoun County, Mississippi",66,70.35,71.49,77.5,72.13
"Donley County, Texas",65.35,48.95,51.67,56.3,50.63
"Poinsett County, Arkansas",65.34,60.2,59.93,61.45,53.85
"Franklin Parish, Louisiana",65.14,64.71,60.73,58.54,51.71
"Stephens County, Texas",64.98,54.54,45.38,48.24,34.55
"Young County, Texas",64.72,63.18,61.32,60.66,51.76
"Colonial Heights city, Virginia",64.71,73.68,40.49,,
