County,Percent 2020,Percent 2010,Percent 2000,Percent 1990,Percent 1980
"Rockland County, New York",19.17,22.04,31.39,22.6,2.37
"Kings County, New York",10.57,11.51,15.37,18.21,0.4
"Ocean County, New Jersey",8.05,9.03,2.25,2.19,0.4
"Fairfax city, Virginia",7.46,7.85,16.75,,
"New York County, New York",6.1,6.25,20.46,18.44,1.53
"St. Louis city, Missouri",5.77,0.64,1.32,2.17,0
"Baltimore city, Maryland",5.76,4.33,8.68,6.22,1.43
"Orange County, New York",5.69,6.45,4.39,3.25,1
"Nassau County, New York",5.51,5.95,15.51,24.21,3.74
"Sullivan County, New York",5.28,5.57,10.04,13.19,0.75
"Dukes County, Massachusetts",4.61,5.58,2,2.23,1.54
"Westchester County, New York",4.23,5.17,10.18,14.01,2.61
"Pitkin County, Colorado",3.89,3.52,5.04,1.97,0
"Queens County, New York",3.56,3.93,10.68,16.46,0.83
"Des Moines County, Iowa",3.56,,0.43,0,0.03
"Bergen County, New Jersey",3.46,4.21,9.47,10.3,1.47
"Montgomery County, Pennsylvania",3.33,4.27,7.94,6.81,2.07
"Monmouth County, New Jersey",2.98,3.33,10.56,6.07,1.23
"Essex County, New Jersey",2.87,2.98,9.6,9.79,1.3
"Norfolk County, Massachusetts",2.82,2.94,5.89,6.03,1.36
"District of Columbia, District of Columbia",2.75,2.94,4.46,4.19,1.29
"Oakland County, Michigan",2.6,3.01,6.46,2.14,1.17
"Montgomery County, Maryland",2.49,3.07,9.6,7.03,1.29
"Blaine County, Idaho",2.22,,,,
"Cuyahoga County, Ohio",2.19,2.41,5.67,3.54,1.23
"Berkshire County, Massachusetts",2.19,2.12,2.89,2.76,0.61
"Union County, New Jersey",2.14,2.61,5.76,6.08,1.34
"Palm Beach County, Florida",2.02,2.81,14.76,12.97,0.84
"Fulton County, Georgia",1.95,2.14,8.08,2.3,1.13
"Summit County, Utah",1.84,1.95,0.5,,
"Lake County, Illinois",1.8,2.63,3.88,0.1,0.97
"Alexandria city, Virginia",1.79,2.25,4.21,,
"Passaic County, New Jersey",1.75,2,3.48,4.13,0.88
"Norfolk city, Virginia",1.73,1.75,3.24,1.51,0.57
